iteration,reward_mean,length_mean,games,loss
44500,13.12,16.12,8,0.04702918976545334
45000,16.25,19.25,8,0.037683386355638504
45500,16.25,19.25,8,0.03719096630811691
46000,17.38,20.38,8,0.06211031973361969
46500,17.25,20.25,8,0.04733695462346077
47000,16.5,19.5,8,0.0717686116695404
47500,15.88,18.88,8,0.03215879201889038
48000,16.38,19.38,8,0.03790589049458504
48500,14.62,17.62,8,0.05960998684167862
49000,9.62,12.62,8,0.042394693940877914
49500,11.38,14.38,8,0.05337747931480408
50000,14.0,17.0,8,0.02814216911792755
50500,13.5,16.5,8,0.05545121431350708
51000,15.62,18.62,8,0.031624823808670044
51500,12.88,15.88,8,0.033016614615917206
52000,14.5,17.5,8,0.04472782462835312
52500,10.75,13.75,8,0.039343588054180145
53000,13.38,16.38,8,0.028760885819792747
53500,13.75,16.75,8,0.04796316474676132
54000,17.88,20.88,8,0.06512570381164551
54500,19.0,22.0,8,0.06631007790565491
55000,16.62,19.62,8,0.027460617944598198
55500,13.38,16.38,8,0.07649548351764679
56000,18.33,21.33,9,0.05729857087135315
56500,18.12,21.12,8,0.043914493173360825
57000,15.12,18.12,8,0.03417538106441498
57500,13.75,16.75,8,0.06888778507709503
58000,14.5,17.5,8,0.033796560019254684
58500,13.38,16.38,8,0.06156276911497116
59000,13.38,16.38,8,0.07722708582878113
59500,18.0,21.0,9,0.05438331514596939
60000,13.12,16.12,8,0.08157754689455032
60500,17.38,20.38,8,0.06245466321706772
61000,12.5,15.5,8,0.03395940363407135
61500,14.25,17.25,8,0.057420261204242706
62000,15.88,18.88,8,0.04493289813399315
62500,15.88,18.88,8,0.04130341857671738
63000,11.88,14.88,8,0.08887788653373718
63500,17.12,20.12,8,0.05445697903633118
64000,16.0,19.0,8,0.07875916361808777
64500,15.88,18.88,8,0.06827958673238754
65000,15.75,18.75,8,0.0931212306022644
65500,14.0,17.0,8,0.07445338368415833
66000,18.5,21.5,8,0.059890180826187134
66500,14.25,17.25,8,0.07134620100259781
67000,13.0,16.0,8,0.046170011162757874
67500,20.62,23.62,8,0.05245525389909744
68000,14.88,17.88,8,0.05954866483807564
68500,17.5,20.5,8,0.053649693727493286
69000,15.88,18.88,8,0.061074964702129364
69500,14.0,17.0,8,0.06670717895030975
70000,16.38,19.38,8,0.05079460144042969
70500,22.0,25.0,8,0.05842573195695877
71000,20.0,23.0,8,0.05093393847346306
71500,17.88,20.88,8,0.05976240336894989
72000,20.0,23.0,8,0.06271898001432419
72500,13.62,16.62,8,0.0911538153886795
73000,18.25,21.25,8,0.03495018929243088
73500,15.5,18.5,8,0.07305675745010376
74000,11.75,14.75,8,0.066072978079319
74500,17.62,20.62,8,0.0832686796784401
75000,17.75,20.75,8,0.05672356113791466
75500,17.0,20.0,8,0.09099182486534119
76000,21.88,24.88,8,0.10405030846595764
76500,20.62,23.62,8,0.0700826495885849
77000,20.88,23.88,8,0.06162525713443756
77500,14.12,17.12,8,0.050057925283908844
78000,21.38,24.38,8,0.0677807405591011
78500,19.5,22.5,8,0.04786667227745056
79000,15.62,18.62,8,0.08204236626625061
79500,13.62,16.62,8,0.0519358366727829
80000,20.25,23.25,8,0.044109046459198
80500,13.88,16.88,8,0.11150454729795456
81000,18.25,21.25,8,0.05903060734272003
81500,16.62,19.62,8,0.08784456551074982
82000,16.75,19.75,8,0.049445390701293945
82500,17.38,20.38,8,0.11855228245258331
83000,19.0,22.0,8,0.04508436098694801
83500,17.75,20.75,8,0.06360011547803879
84000,19.0,22.0,8,0.048300616443157196
84500,14.5,17.5,8,0.034076668322086334
85000,16.38,19.38,8,0.05006944388151169
85500,14.12,17.12,8,0.07304385304450989
86000,17.0,20.0,8,0.059956714510917664
86500,15.25,18.25,8,0.07351429760456085
87000,16.75,19.75,8,0.07441197335720062
87500,21.0,24.0,8,0.040778305381536484
88000,17.62,20.62,8,0.07767432183027267
88500,18.38,21.38,8,0.046082090586423874
89000,17.0,20.0,8,0.03321164473891258
89500,17.75,20.75,8,0.05002147704362869
90000,15.88,18.88,8,0.0734385997056961
90500,14.62,17.62,8,0.03874755650758743
91000,18.25,21.25,8,0.04375983774662018
91500,14.25,17.25,8,0.06679686903953552
92000,20.62,23.62,8,0.030604351311922073
92500,19.62,22.62,8,0.06858213245868683
93000,18.75,21.75,8,0.05958045274019241
93500,16.62,19.62,8,0.04551389068365097
94000,20.12,23.12,8,0.042190879583358765
94500,23.25,26.25,8,0.0542900487780571
95000,18.5,21.5,8,0.07826106250286102
95500,25.25,28.25,8,0.11034994572401047
96000,17.75,20.75,8,0.12104014307260513
96500,19.62,22.62,8,0.058497145771980286
97000,25.75,28.75,8,0.05202805995941162
97500,14.25,17.25,8,0.06994752585887909
98000,19.62,22.62,8,0.09150892496109009
98500,19.12,22.12,8,0.06152172386646271
99000,14.75,17.75,8,0.05501542240381241
99500,15.12,18.12,8,0.06598342955112457
100000,17.12,20.12,8,0.07621777057647705
100500,19.75,22.75,8,0.0312004704028368
101000,16.62,19.62,8,0.05811559408903122
101500,14.0,17.0,8,0.06727765500545502
102000,18.25,21.25,8,0.03974254056811333
102500,22.62,25.62,8,0.061409786343574524
103000,13.62,16.62,8,0.043566539883613586
103500,14.88,17.88,8,0.035489026457071304
104000,17.62,20.62,8,0.08306461572647095
104500,19.0,22.0,8,0.05846182256937027
105000,21.25,24.25,8,0.06089301407337189
105500,24.25,27.25,8,0.033237047493457794
106000,13.38,16.38,8,0.04965634644031525
106500,14.12,17.12,8,0.04905681312084198
107000,15.88,18.88,8,0.051213912665843964
107500,14.12,17.12,8,0.10144674777984619
108000,18.5,21.5,8,0.03751242905855179
108500,20.12,23.12,8,0.06913495808839798
109000,18.0,21.0,8,0.03309469670057297
109500,13.5,16.5,8,0.08447032421827316
110000,18.38,21.38,8,0.022505320608615875
110500,15.38,18.38,8,0.06675916165113449
111000,18.25,21.25,8,0.05372433364391327
111500,14.88,17.88,8,0.0299209076911211
112000,21.62,24.62,8,0.04782215505838394
112500,19.75,22.75,8,0.0452190563082695
113000,22.38,25.38,8,0.05739946663379669
113500,17.25,20.25,8,0.07274212688207626
114000,12.0,15.0,8,0.02519780397415161
114500,22.38,25.38,8,0.054429151117801666
115000,17.12,20.12,8,0.06789018213748932
115500,19.88,22.88,8,0.04407984018325806
116000,19.25,22.25,8,0.045726947486400604
116500,21.25,24.25,8,0.05897262692451477
117000,16.38,19.38,8,0.1016966849565506
117500,25.12,28.12,8,0.07991854846477509
118000,19.75,22.75,8,0.059186600148677826
118500,14.88,17.88,8,0.04918006807565689
119000,22.62,25.62,8,0.047254566103219986
119500,21.88,24.88,8,0.05697973072528839
120000,19.88,22.88,8,0.04328375682234764
120500,21.0,24.0,8,0.04223374277353287
121000,16.12,19.12,8,0.06537405401468277
121500,20.25,23.25,8,0.07357798516750336
122000,20.0,23.0,8,0.06137926131486893
122500,24.5,27.5,8,0.06995131075382233
123000,20.38,23.38,8,0.11054970324039459
123500,13.38,16.38,8,0.07489371299743652
124000,27.75,30.75,8,0.0713697224855423
124500,20.25,23.25,8,0.07163017243146896
125000,12.88,15.88,8,0.047451067715883255
125500,18.5,21.5,8,0.031036244705319405
126000,18.75,21.75,8,0.05473298951983452
126500,20.0,23.0,8,0.046427320688962936
127000,23.12,26.12,8,0.040262263268232346
127500,21.33,24.33,9,0.05950920283794403
128000,21.62,24.62,8,0.03908291831612587
128500,13.38,16.38,8,0.07336322963237762
129000,20.5,23.5,8,0.040902674198150635
129500,22.38,25.38,8,0.04745607078075409
130000,17.12,20.12,8,0.057970039546489716
130500,17.25,20.25,8,0.07189212739467621
131000,19.88,22.88,8,0.04030530899763107
131500,21.75,24.75,8,0.051014404743909836
132000,20.0,23.0,8,0.06400320678949356
132500,24.62,27.62,8,0.0551094152033329
133000,21.38,24.38,8,0.04438325762748718
133500,12.25,15.25,8,0.025601007044315338
134000,21.75,24.75,8,0.06086960434913635
134500,20.25,23.25,8,0.08844750374555588
135000,21.75,24.75,8,0.07870368659496307
135500,12.25,15.25,8,0.0723339095711708
136000,25.75,28.75,8,0.03839994966983795
136500,20.5,23.5,8,0.044348545372486115
137000,20.88,23.88,8,0.04064055159687996
137500,19.25,22.25,8,0.03236702084541321
138000,22.38,25.38,8,0.03004680573940277
138500,17.88,20.88,8,0.03702057525515556
139000,18.62,21.62,8,0.05437951907515526
139500,16.62,19.62,8,0.051813673228025436
140000,20.38,23.38,8,0.03853467106819153
140500,21.38,24.38,8,0.03764910250902176
141000,19.62,22.62,8,0.08158520609140396
141500,19.38,22.38,8,0.038409437984228134
142000,16.38,19.38,8,0.04585489630699158
142500,15.5,18.5,8,0.0643315464258194
143000,17.5,20.5,8,0.03857404738664627
143500,17.75,20.75,8,0.04190140962600708
144000,19.88,22.88,8,0.05050325393676758
144500,24.12,27.12,8,0.07381697744131088
145000,17.0,20.0,8,0.03126111626625061
145500,16.0,19.0,8,0.04241415485739708
146000,19.25,22.25,8,0.043001458048820496
146500,18.62,21.62,8,0.044260039925575256
147000,13.62,16.62,8,0.04532504081726074
147500,17.25,20.25,8,0.05423443019390106
148000,13.12,16.12,8,0.044099416583776474
148500,17.5,20.5,8,0.06844174861907959
149000,12.5,15.5,8,0.060782261192798615
149500,15.25,18.25,8,0.028650108724832535
150000,19.88,22.88,8,0.10287099331617355
150500,21.0,24.0,8,0.07354619354009628
151000,11.88,14.88,8,0.07286426424980164
151500,20.62,23.62,8,0.07730700820684433
152000,20.75,23.75,8,0.03967723995447159
152500,20.25,23.25,8,0.06049187481403351
153000,19.0,22.0,8,0.052397966384887695
153500,14.25,17.25,8,0.06749418377876282
154000,18.5,21.5,8,0.04474865645170212
154500,14.5,17.5,8,0.028081007301807404
155000,18.25,21.25,8,0.09332726150751114
155500,14.38,17.38,8,0.03491785377264023
156000,17.5,20.5,8,0.06212318688631058
156500,15.75,18.75,8,0.02573493868112564
157000,14.25,17.25,8,0.09213914722204208
157500,18.25,21.25,8,0.0407043918967247
158000,13.0,16.0,8,0.04800935089588165
158500,17.88,20.88,8,0.08758337050676346
159000,20.38,23.38,8,0.06416791677474976
159500,20.25,23.25,8,0.050490669906139374
160000,21.88,24.88,8,0.0693160891532898
160500,13.38,16.38,8,0.03841476887464523
161000,19.88,22.88,8,0.08668123930692673
161500,18.25,21.25,8,0.030500687658786774
162000,16.88,19.88,8,0.03322823345661163
162500,20.38,23.38,8,0.07418723404407501
163000,18.38,21.38,8,0.07211434096097946
163500,20.62,23.62,8,0.056993938982486725
164000,19.5,22.5,8,0.0361858606338501
164500,18.12,21.12,8,0.06776447594165802
165000,12.5,15.5,8,0.05688374489545822
165500,23.62,26.62,8,0.03927288576960564
166000,22.0,25.0,8,0.035730719566345215
166500,17.25,20.25,8,0.0338139571249485
167000,19.38,22.38,8,0.06102349981665611
167500,15.25,18.25,8,0.05185772106051445
168000,20.62,23.62,8,0.038758374750614166
168500,24.25,27.25,8,0.018644753843545914
169000,22.75,25.75,8,0.06869171559810638
169500,19.88,22.88,8,0.041801512241363525
170000,19.25,22.25,8,0.11891345679759979
170500,16.38,19.38,8,0.07810180634260178
171000,22.62,25.62,8,0.052542395889759064
171500,23.62,26.62,8,0.04216332361102104
172000,17.62,20.62,8,0.052050456404685974
172500,23.62,26.62,8,0.054309554398059845
173000,17.0,20.0,8,0.03411334380507469
173500,14.88,17.88,8,0.07084013521671295
174000,19.38,22.38,8,0.041967421770095825
174500,17.5,20.5,8,0.07767575979232788
175000,22.0,25.0,8,0.0714394748210907
175500,17.88,20.88,8,0.06902165710926056
176000,22.88,25.88,8,0.051157839596271515
176500,18.0,21.0,8,0.08508921414613724
177000,19.62,22.62,8,0.06207017973065376
177500,21.25,24.25,8,0.07973411679267883
178000,24.38,27.38,8,0.02591899037361145
178500,21.5,24.5,8,0.08946406841278076
179000,16.5,19.5,8,0.04239523410797119
179500,20.5,23.5,8,0.0580424927175045
180000,13.75,16.75,8,0.057003848254680634
180500,17.5,20.5,8,0.07690013200044632
181000,17.5,20.5,8,0.0622967854142189
181500,18.0,21.0,8,0.05919051170349121
182000,19.5,22.5,8,0.06913135945796967
182500,20.0,23.0,8,0.03543013334274292
183000,20.12,23.12,8,0.036037005484104156
183500,13.88,16.88,8,0.08790364861488342
184000,16.88,19.88,8,0.04506050795316696
184500,20.5,23.5,8,0.025187356397509575
185000,16.5,19.5,8,0.04116241633892059
185500,28.62,31.62,8,0.03262782841920853
186000,18.25,21.25,8,0.04157719016075134
186500,22.25,25.25,8,0.045470766723155975
187000,17.38,20.38,8,0.03517165035009384
187500,22.62,25.62,8,0.03780021518468857
188000,12.0,15.0,8,0.04471784457564354
188500,18.38,21.38,8,0.038533564656972885
189000,21.88,24.88,8,0.04949134588241577
189500,24.75,27.75,8,0.05362424626946449
190000,25.88,28.88,8,0.0776025652885437
190500,20.5,23.5,8,0.02523299679160118
191000,24.62,27.62,8,0.017684072256088257
191500,21.38,24.38,8,0.03193795680999756
192000,19.25,22.25,8,0.07055028527975082
192500,21.38,24.38,8,0.043199654668569565
193000,27.88,30.88,8,0.02761402353644371
193500,19.5,22.5,8,0.030930090695619583
194000,16.12,19.12,8,0.0662984848022461
194500,19.75,22.75,8,0.037580154836177826
195000,21.88,24.88,8,0.02739414945244789
195500,20.33,23.33,9,0.03107675351202488
196000,17.25,20.25,8,0.018193142488598824
196500,14.0,17.0,8,0.027482686564326286
197000,18.88,21.88,8,0.027292024344205856
197500,20.12,23.12,8,0.029206817969679832
198000,17.5,20.5,8,0.025417739525437355
198500,20.75,23.75,8,0.0734812542796135
199000,19.38,22.38,8,0.019195420667529106
199500,22.25,25.25,8,0.04992499575018883
200000,19.12,22.12,8,0.0203788373619318
